hour,azimuth,Altitude,Right ascension,Declination
0,350 18 08.71,-56 46 03.9,184 46 00.33,-2 03 52.1
1,017 29 54.27,-55 56 02.4,184 48 17.52,-2 04 50.4
2,040 27 21.09,-49 55 52.2,184 50 34.62,-2 05 48.8
3,057 17 46.17,-40 38 52.0,184 52 51.53,-2 06 47.2
4,069 48 10.82,-29 38 29.9,184 55 08.13,-2 07 45.6
5,079 51 30.20,-17 47 12.1,184 57 24.34,-2 08 44.0
6,088 44 54.24,-5 34 01.8,184 59 40.09,-2 09 42.4
7,097 23 30.06,06 41 43.0,185 01 55.35,-2 10 40.8
8,106 36 24.06,18 42 30.8,185 04 10.14,-2 11 39.2
9,117 20 18.37,30 06 10.1,185 06 24.49,-2 12 37.6
10,130 51 18.18,40 17 21.3,185 08 38.46,-2 13 36.0
11,148 40 59.44,48 15 22.7,185 10 52.16,-2 14 34.4
12,171 20 59.76,52 29 11.7,185 13 05.69,-2 15 32.8
13,195 49 57.68,51 41 23.7,185 15 19.19,-2 16 31.1
14,217 08 18.74,46 08 35.3,185 17 32.77,-2 17 29.4
15,233 29 52.41,37 21 18.7,185 19 46.57,-2 18 27.7
16,245 59 51.18,26 42 41.1,185 22 00.69,-2 19 26.1
17,256 08 07.92,15 04 15.3,185 24 15.22,-2 20 24.3
18,265 03 53.85,02 56 08.7,185 26 30.21,-2 21 22.6
19,273 40 02.52,-9 21 43.4,185 28 45.71,-2 22 20.9
20,282 45 51.21,-21 32 08.1,185 31 01.69,-2 23 19.2
21,293 21 15.91,-33 14 07.5,185 33 18.13,-2 24 17.5
22,306 54 04.69,-43 53 44.6,185 35 34.95,-2 25 15.8
23,325 28 21.39,-52 27 57.4,185 37 52.06,-2 26 14.1
