ymdhms,sunshine,humdt,wnd_spd,visiblt,cloud2,cloud,grd_temprt,wnd_dir,dewpnt,steampressr,temprt,mincloud,rain,pressr,seapressr,snow
2019082005,0.0,99.0,0.3,168.0,1.0,1.0,21.2,0.0,19.9,23.2,20.1,13.0,0.0,991.0,1010.0,0.0
2019082006,0.0,99.0,0.3,156.0,0.0,0.0,21.2,0.0,19.6,22.8,19.8,12.333333333333334,0.0,990.8,1009.9,0.0
2019082007,0.0,99.0,0.9,155.0,2.0,2.0,22.7,290.0,20.0,23.4,20.2,11.666666666666666,0.0,991.1,1010.1,0.0
2019082008,0.4,90.0,0.4,239.0,2.0,3.0,26.2,0.0,21.4,25.5,23.2,11.0,0.0,990.9,1009.6,0.0
2019082009,0.7,78.0,0.8,509.0,0.0,0.0,34.2,110.0,21.8,26.1,26.0,10.0,0.0,990.9,1009.5,0.0
2019082010,1.0,66.0,2.2,759.0,1.0,2.0,37.9,160.0,21.1,25.0,28.1,9.0,0.0,991.0,1009.4,0.0
2019082011,0.9,64.0,3.5,783.0,4.0,6.0,41.3,140.0,20.8,24.6,28.3,14.0,0.0,990.8,1009.2,0.0
2019082012,1.0,63.0,3.0,867.0,2.0,7.0,45.3,110.0,21.6,25.8,29.4,10.0,0.0,990.3,1008.6,0.0
2019082013,0.7,63.0,2.7,795.0,3.0,8.0,48.2,180.0,22.0,26.4,29.9,11.0,0.0,990.1,1008.4,0.0
2019082014,0.5,62.0,2.0,784.0,8.0,9.0,46.0,180.0,21.9,26.3,30.0,11.0,0.0,990.0,1008.3,0.0
2019082015,0.3,65.0,2.5,7220.0,2.0,10.0,36.3,160.0,21.2,25.2,28.5,19.0,0.0,989.8,1008.2,0.0
2019082016,0.3,63.0,2.5,749.0,1.0,8.0,35.5,160.0,20.9,24.7,28.7,10.0,0.0,989.4,1007.7,0.0
2019082017,0.9,64.0,2.3,773.0,2.0,4.0,34.6,160.0,21.5,25.6,29.1,10.0,0.0,989.2,1007.5,0.0
2019082018,0.8,68.0,2.6,802.0,2.0,4.0,31.0,200.0,21.6,25.8,28.1,10.0,0.0,989.6,1008.0,0.0
2019082019,0.0,72.0,1.6,828.0,5.0,5.0,26.9,160.0,21.2,25.2,26.7,9.0,0.0,990.0,1008.5,0.0
2019082020,0.0,80.0,0.7,703.0,5.0,6.0,25.8,90.0,21.5,25.6,25.3,16.0,0.0,990.4,1009.0,0.0
2019082105,0.0,95.0,0.6,432.0,6.0,6.0,24.4,110.0,22.2,26.8,23.1,8.0,0.0,989.7,1008.4,0.0
